,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,周边配套,税费解析,房源核验码,查询房管备案记录,小区介绍,权属抵押,适宜人群,装修描述,户型介绍,交通出行,别墅类型,用水类型,用电类型,燃气价格
1182,紫韵香庭 精装修三房 天宁吾悦旁 采光佳视野无遮挡,130万,13079,经开区青龙,紫韵香庭,3室2厅1厨1卫,高楼层 (共21层),99.4㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利,,天宁吾悦，丁塘河湿地公园，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应俱全。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税,,,,,,,此房户型方正，通透性比较好，每个房间都有窗户，明厨明卫，采光无遮挡,,,,,
1183,天宁吾悦广场旁次新小区，方正户型，精装大四房,170万,14167,天宁区青龙,香溢紫郡,4室1厅1厨2卫,高楼层 (共34层),120㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,天宁吾悦广场旁次新小区，方正户型，精装大四房,,商天宁吾悦商圈近在咫尺，工商银行，江南银行，5大购物C市家门口，小区前菜场!,"：
契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,"小区环境优美,舒适安静适宜居住,出门即有公交菜场,银行supermarket美食等人文素养 好,乐于助人,相处和谐",,,,,,,,,
1184,天宁吾悦广场旁，次新小区，精装修，交通方便,108万,13847,天宁区青龙,海华花园,2室2厅1厨1卫,低楼层 (共26层),78㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,天宁吾悦广场旁，次新小区，精装修，无遮挡，交通便利,户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较,小区生活实施齐全，商场，菜市场，银行等。 2：小区停车位充足，建有地面临时停车位以及底下停车位。绿化也不错，地铁走过去就行,房子满二，个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,,,
1185,精装4房，诚心出售，看房方便，采光无遮挡,240万,17076,天宁区青龙,阳光龙庭,4室1厅1厨2卫,中楼层 (共33层),140.55㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-17,商品房,2016-04-12,普通住宅,满五年,非共有,有抵押 190万元,已上传房本照片,精装4房，诚心出售，看房方便，采光无遮挡,,小区外围配套齐全，酒店，便利店，农贸市场均在小区外围，各大银行1000米内均有，武进医院，都在3公里，公交站台齐全，B10，10路，14路，16路，H1，H2.。。。。小区自带双语幼儿园，小区后面过马路设有篮球场，足球场，羽毛球场，等健身设施,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,阳光龙庭一共42栋，1-21号为别墅区，22-42为高层住宅。一共分三期，2013-2015年。开发商为常州北辰置业有限公司。物业为中房物业 ，小区入住率比较高，绿化也不错，小孩玩的地方比较多。适宜居住,,,,,,,,,
1186,御河湾 风景很好的房子 楼层采光无遮挡,178万,15048,天宁区青龙,御河湾,3室2厅1厨2卫,高楼层 (共25层),118.29㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-03-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房子满两年 产权清晰 户型方正通透，精装修。,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，物业服务方便快捷，本小区设有门禁 安全感满满,,,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,,
1187,经典大三房，天宁吾悦，地铁2号线，精装礼包..,245万,18203,天宁区青龙,香溢紫郡,3室2厅1厨2卫,中楼层 (共28层),134.6㎡,平层,暂无数据,板塔结合,南 东,钢混结构,精装,两梯三户,有,暂无数据,2021-08-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,经典大三房，天宁吾悦，地铁2号线，精装礼包..,,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,契税：90平方以下，首套房成交价的1%，二套房成交价的1%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%，满五唯一免。,,,格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,,,,,,,,
1188,景秀世家 2室1厅 南,145万,16012,天宁区青龙,景秀世家,2室1厅1厨1卫,中楼层 (共22层),90.56㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯六户,有,暂无数据,2021-08-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,,,,,,,,,,,,,,,,
1189,香溢俊园格局好视野开阔采光足配套设施齐全交通便利,160万,18534,天宁区青龙,香溢俊园,3室2厅1厨1卫,低楼层 (共34层),86.33㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-06-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 业主自还,未上传房本照片,香溢俊园格局好视野开阔采光足配套设施齐全交通便利,,朝阳综合市场，大润发chao市，德安医院，中国交通银行，中国工商银行，中国农业银行，邮政储蓄银行等,此房产权清晰。房东对付款无要求，灵活付款可以正常交易。正常首付,,,,新城地产为常州精心打造的又一高品质宜居社区，圆梦系升级作品。项目地处常州红梅公园版块，关河东路北侧，丽华北路东侧。总规划住宅15.68万方，商1.2万方。,,,,,,,,
1190,户型方正.采光充足.交通便利.配套齐全,145万,18832,天宁区青龙,豪郡花园,2室2厅1厨1卫,低楼层 (共34层),77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2021-04-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,常发豪郡2房 前排无遮挡全天采光 地铁口吾悦旁,,综合市场，*市，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.吾悦广场。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,权属抵押：此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
1191,地铁口 交通方便   五角场东村  53平,65万,12265,天宁区青龙,五角场东村东区,2室1厅1厨1卫,中楼层 (共4层),53㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,2021-04-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,动静分离，红梅公园，生活配套齐全,,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房满五唯一，可以省一个点的个税，契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,小区边有BRT快速公交，即将通行的地铁2号线，有高架，畅通常州各个地方,,,,
1192,三胎必选，四室两厅纯毛坯，大四喜户型,170万,17000,天宁区青龙,香溢紫郡,3室2厅1厨1卫,高楼层 (共34层),100㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-01-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,三胎必选，四室两厅纯毛坯，大四喜户型，小区最南排,,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,,,格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,,,,,,,,
1193,月馨苑纯毛坯好房 诚心卖房 价格有空间,165万,15099,天宁区青龙,月馨苑,2室1厅1厨1卫,高楼层 (共15层),109.28㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-04-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中间楼层采光、视野好，随时看房。,,商场：小东门商城医院：常州市人民医院、常州市人民医院邮局：中国邮政银行：中国工商银行、中国银行、中国农业银行、中国建设银行其他：天宁大饭店、常州东站，东坡公园,二手房交易税费：1、契税：首套房，90平米以下1%，90平米以上1.5%。 二套房：90平米以下1%，90平米以上2%，该房源满二。,,,小区地址：天宁常州市天宁区五角场东路3号 所属区域：天宁 天宁街道 邮 编：213000 物业类别：住宅,,,,,,,,,
1194,龙洲伊都毛坯 看房提前预约 采光充足 双公园环,52万,10753,天宁区青龙,龙洲伊都,1室1厅1厨1卫,中楼层 (共18层),48.36㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯十二户,有,暂无数据,2021-01-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,龙洲伊都公寓 毛坯朝南 落地窗 看房方便 采光很好,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,恐龙主题公园 迪诺水镇 紫荆公园 大润发*市 东径120 配套齐全 交通便利,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
1195,配套齐全，看房方便，诚心出售，近天宁吾悦,98万,12337,经开区青龙,紫韵香庭,2室1厅1厨1卫,高楼层 (共25层),79.44㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯三户,有,暂无数据,2021-05-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,配套齐全，看房方便，诚心出售，近天宁吾悦,,"RT2、220A到青洋中路下车,63路到公交巴士公司下车可到达，靠青洋高架",,,,小区 24小时安保！ 绿化35% 4所 幼儿园 學 校家门口！,,,,,万都义乌小商品城、九龙小商品城 新时代*市.天宁吾悦广场 医院:青龙医院、潞城医院 银行:江南银行、交通银行、建行 其他: 青洋花苑菜市场,,,,
1196,青阳公寓 毛坯低总价  诚心出售,47万,7886,天宁区青龙,青阳·壹号公寓,1室1厅1厨1卫,低楼层 (共15层),59.6㎡,平层,暂无数据,暂无数据,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2022-01-03,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,公寓，低总价，房主诚心卖，毛坯可以自由装修城自己考虑的风格,房主因工作原因，考虑出售此房，价格可以详谈，诚心出售此房。。,,,,,青阳公寓地理位置不错，便利店，近菜场 购物方便，环 境 优 美，,,,,,交通便捷，楼下就有多路公交，近 高架，驾车出行去各个区域都比较方便,,未知,未知,
1197,恐龙园旁两房两厅一卫诚心出售随时看房,170万,21250,天宁区青龙,龙湖香醍时光 ,2室2厅1厨1卫,中楼层 (共33层),80㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2022-07-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,前无遮挡 视野好 诚心出售 看房随时,,公园：紫荆公园、翠竹公园 银行：中国银行永宁北路支行、建设银行永宁北路支行、工商银行龙锦路支行 医院：第二人民医院分院、红梅街道卫生所、武进医院 常发广场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,近永宁北路交通枢纽，有多条公交线路：B1路、B12路、B13路、11路、35路、18路、36路、47路、31路，自驾近龙城大道高架，青洋高架。高速青龙西出口，出行方便。,,,,
