,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,适宜人群,售房详情,装修描述,户型介绍,别墅类型,权属抵押
166,龙城福第经典小户型，房东诚意出售,57万,10364,新北区璜土,龙城福第,1室1厅1厨1卫,高楼层 (共18层),55㎡,暂无数据,暂无数据,暂无数据,西南,未知结构,毛坯,两梯四户,有,暂无数据,2021-12-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房小户型，布局合理，小区环境好，物业服务到位,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,小区环境优美 配套成熟 交通便利 居住舒适 人文素养好 乐于助人 相处和谐,,,,,,此房产权清晰 无抵押 无户口 无纠纷 可放心购买 业主诚心售 房价可谈 看房方便 提前联
167,龙城福第大三房，户型方正，房东诚意出售,97万,8585,新北区璜土,龙城福第,3室2厅1厨1卫,高楼层 (共24层),113㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2021-12-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正  得房率高 房子是大三f房，老人小孩居住方便,90平以上 首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%税的增值税 90平以下 首套房契税是1%，二套房也是1%，三套及以上是3%90平以上 首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%税的增值税 90平以下 首套房契税..,,小区门口有共享单车，出小区300米29路公交车，距离地铁1好线环球港站1000米,小区出行方便 交通便利 生活舒适 出小区就有菜场和商场 很有生活气息 医院就在1公里处龙虎塘医院,,,,,,
168,米兰阳光 好楼层 户型好 全天采光,96万,8029,新北区璜土,米兰阳光花苑,3室2厅1厨2卫,高楼层 (共10层),119.58㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-04-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区位置安静 小高层 中间楼层 居住舒适,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店,,小区环境好环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店入住率百分之80，24小时安保，绿化比例2.2,,,,,,
169,文鑫苑 纯毛坯 好楼层 三朝南户型 看房方便,78万,8042,新北区璜土,文鑫苑,3室2厅1厨2卫,高楼层 (共34层),97㎡,暂无数据,暂无数据,平房,南 北,钢混结构,毛坯,三梯四户,有,暂无数据,2023-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境好房子新  好户型 三朝南 阳光充足,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,小区环境好 绿化高 犹如公园一般 饭后散步可不用出小区 居民素质高 物业负责，24小时安保，,,,,此房是三开间朝南，毛坯房，装修设计自由，户型好，采光很好，3室2厅1厨1卫，视野开阔,,
170,房东诚心出售..........,98万,8807,新北区璜土,金美林花园,3室2厅1厨1卫,中楼层 (共11层),111.28㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-04-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房方正，采光充足，小区出行便利,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米，距离璜石湖公园1500米左右，坐拥双城生活圈,,小区环境优美 配套成熟 交通便利 居住舒适 人文素养好 乐于助人 相处和谐,,,,,,
171,此房位置好，视野宽阔，配套 齐 全，交通 便 利,120万,9555,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,中楼层 (共9层),125.6㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-10-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房位置好，视野宽阔，配套 齐 全，交通 便 利,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3% 房主自荐(业主对房源的描述),,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,业主诚心出售，随时可以看房，产权清晰，如有看中，全程配套签约过户。,,户型方正，三室两厅两卫，双阳台，一梯两户，边上别墅，没有遮挡，随时可以看房,,
172,文鑫苑毛坯三房，户型方正，诚心出售,94万,8104,新北区璜土,文鑫苑,3室2厅1厨2卫,中楼层 (共34层),116㎡,暂无数据,暂无数据,平房,南,钢混结构,毛坯,三梯四户,有,暂无数据,2023-07-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区新 环境好 物业管理好 安全 房子户型好通透 三朝南,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税不满五唯一一个点,,,小区地理位置佳，绿化高，居民素质高 配套：有健身器材，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
173,碧桂园百兴澜庭 4室2厅 南,380万,16522,新北区璜土,碧桂园百兴澜庭,4室2厅1厨3卫,低楼层 (共3层),230㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2022-07-06,商品房,暂无数据,别墅,暂无数据,共有,有抵押 40,未上传房本照片,,,,,,,,,,暂无数据,
174,文鑫苑纯毛坯 洋房 好楼层 采光好 使用空间大,95万,8120,新北区璜土,文鑫苑,3室2厅1厨2卫,高楼层 (共30层),117㎡,暂无数据,暂无数据,塔楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-01,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,"此房满二,楼层无遮挡,视野广阔，总高9层的洋房，户型方正",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税不满五唯一一个点,,小区东门出门是公交站站台，3公里上青阳路高架，3公里左右上高速，去苏州，无锡，南京，都方便。,,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
175,金美林三室两卫，精装修，边户，有钥匙随时看,110万,8731,新北区璜土,金美林花园,3室2厅1厨2卫,低楼层 (共10层),126㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-09-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 6万元 业主自还,未上传房本照片,金美林，精装修，三室两厅两卫，边户，江阴产权，随时看,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米，距离璜石湖公园1500米左右，坐拥双城生活圈,,,,,,此房精装3房2卫，户型好，空间利用的好，视野开阔，优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,
176,米兰阳光花苑 3室2厅 南 北,79.8万,8357,新北区璜土,米兰阳光花苑,3室2厅1厨1卫,低楼层 (共15层),95.5㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-01-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,
177,金美林旁毛坯两室可以自主装修看房方便,100万,8146,新北区璜土,龙城福第,3室2厅1厨2卫,中楼层 (共28层),122.76㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2023-01-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房交通便利，出门公交站，邻近地铁站、高铁站、高速口,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全，五洲国际广场，环球港，小湖市场，恐龙园,,,,,,此房前面是别墅，视野开阔，采光好，已经改装两房、刚需可以利用空间多，小户型，适合小两口居住,,
178,文鑫苑 98平方 毛坯 三房 楼层好 有钥匙,80万,8164,新北区璜土,文鑫苑,3室2厅1厨1卫,高楼层 (共30层),98㎡,暂无数据,暂无数据,塔楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区新 环境好 物业管理好 安全 房子户型好通透 三朝南,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税不满五唯一一个点,,,小区地理位置佳，绿化高，居民素质高 配套：有健身器材，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
179,龙城福第 2室1厅 南,66万,7918,新北区璜土,龙城福第,2室1厅1厨1卫,高楼层 (共32层),83.36㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,
180,龙城福第，三室南北流通，纯毛坯，中上楼层,107.8万,10267,新北区璜土,龙城福第,3室2厅1厨1卫,高楼层 (共33层),105㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元 建设,未上传房本照片,此房交通便利，出门公交站，邻近地铁站、高铁站、高速口,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,出小区就是五洲商场、连锁酒店、健身馆、游泳馆、小湖综合菜市场水产市场。,,小区位置好，邻近别墅区，人文素质高，物业管理好，安全设施齐全,,,,,,
181,金美林花园 三朝南户型  113.47平方 有钥匙,105万,9254,新北区璜土,金美林花园,3室2厅1厨1卫,中楼层 (共11层),113.47㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-11-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元 江苏银行 业主自还,未上传房本照片,"：
恐龙园边，简装，交通便利，配套完善",存量房需要缴纳个人所得税1%。契税，若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套及以上为3%,此小区边上有玲珑菜市场，信特卖场，公交站台，BRT，生活交通便利。,,,此房总价比较低，很适合首付不够，总房价预算低的一家三口或是老人居住。,,,,,
182,文鑫苑（世纪学府）97平方 毛坯 82万 三房,82万,8417,新北区璜土,文鑫苑,3室2厅1厨1卫,中楼层 (共30层),97.43㎡,暂无数据,暂无数据,塔楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境好 次新小区 房型好 高楼层 视野开阔,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税不满五唯一一个点,,,此小区为新小区，小区环境好，入住率百分之80，24小时安保，绿化比例2.2，适宜居住,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
