,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,户型介绍,房源核验码,查询房管备案记录,装修描述,适宜人群,别墅类型
506,正衡凤凰公园边，金科衡麓，四房精装，小高层采光好,315万,23508,天宁区雕庄,金科中梁衡麓世家,4室2厅1厨2卫,中楼层 (共18层),134㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房精装四房。中间楼层。采光没影响。,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，欢迎看房，随时恭候，如看中房子，价格有来去的,,,,,,,,
507,泰和之春 户型方正 楼层好 价格可谈 看房方便,215万,16797,天宁区雕庄,泰和之春,3室2厅1厨1卫,低楼层 (共27层),128㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 业主自还,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，采光佳，居住舒适,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,,
508,水岸花语 2室2厅 南,132万,16297,天宁区雕庄,水岸花语,2室2厅1厨1卫,高楼层 (共34层),81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯三户,有,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,
509,泰和之春 4室2厅 南,330万,18678,天宁区雕庄,泰和之春,4室2厅1厨3卫,低楼层 (共32层),176.68㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,
510,衡麓世家 交通便利  环境优美  生活配套齐全,300万,23031,天宁区雕庄,金科中梁衡麓世家,4室2厅1厨2卫,高楼层 (共18层),130.26㎡,平层,暂无数据,板塔结合,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-03-08,商品房,2023-05-06,普通住宅,未满两年,共有,有抵押 100万元,已上传房本照片,此房精装三房。中间楼层。采光没影响。随时看房,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，欢迎看房，随时恭候，如看中房子，价格有来去的,,,,,,,,
511,精装修住1年户型方正 楼间距大明厨明卫采光好看房方便,220万,17840,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,中楼层 (共33层),123.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-07,商品房,2021-11-22,普通住宅,暂无数据,共有,有抵押,已上传房本照片,精装修户型方正 楼间距大明厨明卫房采光好看房方便,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,,,
512,此房满五唯一，房东诚心出售，看中可谈，产权清晰~,130万,14368,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,低楼层 (共30层),90.48㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-12,商品房,2019-10-25,普通住宅,暂无数据,共有,有抵押 30万元,已上传房本照片,此房满五唯一，房东诚心出售，看中可谈，产权清晰,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,,,,,,
513,菱溪名居 3室1厅 南,159万,12231,天宁区雕庄,菱溪名居,3室1厅1厨1卫,低楼层 (共30层),130㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-02-20,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,
514,水岸花语精装小三房业主诚心出售,140万,17124,天宁区雕庄,水岸花语,3室1厅1厨1卫,高楼层 (共18层),81.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,水岸花语精装三房，高楼层，采光充足，观景舒适。,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,此房无贷款，无抵押，产权清晰。房东对付款无要求，正常首付就可先入住。,,,,,,,
515,泰和之春 2室2厅 东南 南,195万,14342,天宁区雕庄,泰和之春,2室2厅1厨2卫,高楼层 (共11层),135.97㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-10,商品房,2021-07-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,
516,中海凤凰熙岸 小高层  精装修 业主诚心出售 看房方便,205万,16157,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,低楼层 (共18层),126.88㎡,平层,101.82㎡,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2024-02-22,商品房,2016-07-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精装修婚房户型方正 楼间距大明厨明卫房没住过采光好,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,,,
517,中海凤凰熙岸 4室2厅 南 北,202万,15567,天宁区雕庄,中海凤凰熙岸,4室2厅1厨2卫,高楼层 (共34层),129.77㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-12-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,
518,新城泰和恒温房 地暖空调 ，底复空间大，带影音室,418万,14700,天宁区雕庄,泰和之春,3室3厅1厨3卫,低楼层 (共17层),284.36㎡,跃层,暂无数据,平房,南,钢混结构,精装,一梯两户,有,暂无数据,2024-01-27,商品房,2019-10-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房产权清晰，房源真实，业主因置换诚心出售，看房方便，过户全程陪同。,,南边就是中吴大道有多路公交，很方便。北边有地铁，楼下有共享单车。东边大概1公里就是高架入口，出行还是很方便的,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,022422352126,新城泰和恒温房 地暖空调 ，底复空间大，带影音室,,,
519,泰和之春 包产权车位 采光视野佳 带洗碗机 拎包入住,188万,18838,天宁区雕庄,泰和之春,3室2厅1厨1卫,高楼层 (共33层),99.8㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-25,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 88万元,未上传房本照片,"卖点：
生活交通配套便利，户型方正，全明格局，楼层好视野好","小区介绍：
采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高","税费解析：
契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",配套天宁板块内中吴大道旁购物就在家门口局小分校区正衡配套齐全资源充足,,,,,,,,,
520,"此房格局好,方正户型,全天采光,户型方正视野好",175万,15910,经开区雕庄,锦艺旭辉·都会江来,3室2厅1厨2卫,中楼层 (共27层),110㎡,平层,暂无数据,暂无数据,北 南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,方正户型,全天采光,户型方正视野好",1:小区生活实施齐全，商场，菜市场，银行等。2:小区内有健身器材，可供小区居民使用。3:小区停车位充足，建有地面临时停车位,1.契税:A:首套 90平米以下1%B:首套90平米以上1.5%C;二套90平米以下1%D:二套90平米以上2%E:三套3%2.满2年免征，不满2年全额征收5.35%3.个人 :不满5年征1%满5年且房东名下唯一住房可免,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管",,,"房格局好,户型方正,全天采光,户型方正视野好,干湿分离,明厨明卫",,,,,
521,此房采光视野好，房源真实，业主诚心出售，看房方便~,289万,20353,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,中楼层 (共17层),142㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，十分陪同过户,,小区纯小高层，采光好，绿化好，设有儿童游乐区，喷泉景观。分南大门和西大门，都可进出车辆,,,,,,
522,菱溪公园精装修 地暖 空调三开间朝南户型方正看房方便,225万,17907,天宁区雕庄,泰和之春,3室2厅1厨2卫,中楼层 (共33层),125.65㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装修 地暖 空调 三开间朝南 户型方正 看房方便,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
