,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,权属抵押,适宜人群,户型介绍,周边配套,售房详情,交通出行,房源核验码,查询房管备案记录,装修描述,别墅类型,用水类型,用电类型,燃气价格
1142,新市府飞龙吾悦旁，银一城二期，3南，装修全明采光好,108万,16841,新北区三井,银河湾第一城二期,2室2厅1厨1卫,中楼层 (共18层),64.13㎡,平层,53.8㎡,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-05-23,商品房,2020-05-30,普通住宅,暂无数据,非共有,有抵押 60万元,已上传房本照片,新市府飞龙吾悦旁，银一城二期楼层好，3南，装修全明采光好,,房子为商品房，满2年 ，面积大于90平，首套房和契税为2% 三套及以上为3%,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭","1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，一卧室带大阳台，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。","距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场常鲸和乐瑞家，多种品牌小吃，购物和生活都很便利。",,,,,,,,,
1143,精装复式，必买好房，随时可看  ，,230万,17693,新北区三井,绿都万和城七区,4室2厅1厨2卫,低楼层 (共27层),130㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-21,商品房,2019-09-27,普通住宅,暂无数据,共有,无抵押,已上传房本照片,全屋品牌装修 复式 必买好房 随时可看,品质小区 24小时安保巡逻 小区楼间距宽 视野采光好....................,,房屋产权清晰无抵押，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,长江路飞龙路配有43、45、50、54、55、98、H1等公交路线到银河湾第 一城下 龙城大道有32、40、201、204路等公交线路到前桥小区站下、98路到飞龙公园下车 1111路到绿都万和城五区站下车,,,,,,,
1144,新市府飞龙吾悦万和城旁银一城高层精装，全天采光好,158万,17270,新北区三井,银河湾第一城二期,2室2厅1厨1卫,高楼层 (共26层),91.49㎡,平层,73.2㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-19,商品房,2018-06-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,新市府飞龙吾悦万和城旁银一城高层精装，全天采光好,,房子为商品房，满2年 ，面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。","1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。","距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场常鲸和乐瑞家，多种品牌小吃，购物和生活都很便利。",,,,,,,,,
1145,融锦锦鲤公寓 1室1厅 南,78万,10435,新北区三井,融锦锦鲤公寓,1室1厅1厨1卫,中楼层 (共9层),74.75㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯二十八户,有,暂无数据,2022-04-07,商品房,暂无数据,商住两用,暂无数据,非共有,有抵押 10 业主自还,未上传房本照片,,,,,,,,,,,,,,商水,商电,
1146,金桂公寓三层，小高层带阳台。配套齐全,300万,15958,新北区三井,金桂公寓,3室2厅2厨3卫,高楼层 (共12层),188㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,暂无数据,2020-05-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 商业银行,未上传房本照片,本房满二年配套齐全交通方便地里位置好,区域：城北区域板块：城北项目位置：新北通江大道177号建筑类型：高层；小高层；物业类别：普通住宅；开发商：常州天禄建设开发有限公司,税费解析：关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,商场：每家玛*市，万达广场、常发广场、乐购*市等医院：三井医院邮局：邮政储蓄河海分局银行：建设银行、工业银行、农业银行其他：新区公园；奥体中 心，市政府。小区内部配套：该小区周 边学 校、医院、银行、*市等设施齐全，处于好地段，品牌小区,,,,,,,,,
1147,新北万达商圈，无遮挡视野好，出售 朝南采光好,240万,18046,新北区三井,太湖明珠苑,3室2厅1厨2卫,中楼层 (共17层),133㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,新北万达商圈，无遮挡视野好，房东诚信出售 朝南采光好,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,首套房，90平米以下成交价的1，90平米以上成交价的1.5二套房90平以上成交价的22增值税产证满2年免收增值税未满2年征收5.33个税产证满五年而且是一套免收个税未满5年成交价的1,,,,,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，也通往常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘.",,,,,,,
1148,市政府旁地铁口品质小区豪庭花园毛坯房有钥匙随时看房,200万,22472,新北区三井,豪庭花园,2室2厅1厨1卫,低楼层 (共24层),89㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-03-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适，,,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,万达购物广场，乐购、沃尔玛大卖场，BRT沿线，三井幼儿园，小区门口就有菜市场，生活便利，设施齐qu，满足您居家的一切需求,,公交：19、42、33、47、50、302、H1、B10、B12等多路公交至奥体中 心北或常州地税局下,,,,,,,
1149,雅居乐星河湾精装公寓南北敞亮位置优,60万,10910,新北区三井,雅居乐星河湾,1室1厅1厨1卫,低楼层 (共29层),55㎡,平层,暂无数据,塔楼,南 东南,钢混结构,精装,四梯二十四户,有,暂无数据,2021-01-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此屋南北阳光充足 ，距离万达商圈 ，麦德龙大型商*。,,,,,此楼栋建造于2015年，位于小区门口楼下免费停车位多，此楼栋共29层，此房位于11层，朝东长方形单间，一室一厅一卫一厨，适合单身青年居住，创业开公司和出租都可以,小区门口配有中型生活*市，烟酒店等，小区配有会所，包含体育馆健身房，游泳池，御景天大酒店，小区配有幼儿园，东边有太湖综合市场包含菜市场和中型购物*市，太湖路旁有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路 32A路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，也通往常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙",,,雅居乐星河湾公寓，精装修可投 资自住小户型总价低，空调，床，洗衣机，一应俱有。,,,,
1150,精装修公寓    看房方便   配套齐全,78万,10130,新北区三井,融锦锦鲤公寓,2室2厅1厨1卫,中楼层 (共9层),77㎡,平层,暂无数据,塔楼,东 西,钢混结构,精装,三梯二十八户,有,暂无数据,2020-10-24,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,楼层好，采光充足， 配套设施齐全,,,,本房属于公寓房，首付五成，付款方式可付全款，也可商贷，适合投 资,,,交通方便，公交brt一应俱全，出行很是方便，不用担心出行，为以后的购物生活打下了基础,门口有共享单车，靠着主要交通要道，交通便利，往西2公里是高速入口,,,,,商水,商电,
1151,常发豪庭花园好房低价出售位置好环境好,220万,25332,新北区三井,豪庭花园,2室2厅1厨1卫,低楼层 (共26层),86.85㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-06-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,万达购物广场，乐购、沃尔玛大卖场，BRT沿线，三井幼儿园，小区门口就有菜市场，生活便利，设施齐qu，恐龙园，迪诺水镇，满足您居家的一切需求,,公交：19、42、33、47、50、302、H1、B10、B12等多路公交至奥体中 心北或常州地税局下。地铁1号线,,,,,,,
1152,雅居乐星河湾 4室1厅 南,370万,20135,新北区三井,雅居乐星河湾,4室1厅1厨3卫,高楼层 (共34层),183.76㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯六户,有,暂无数据,2023-10-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
1153,雅居乐星河湾公寓，拎包入住万达旁总价低,38.8万,7055,新北区三井,雅居乐星河湾,1室1厅1厨1卫,高楼层 (共29层),55㎡,平层,暂无数据,塔楼,东,钢混结构,简装,四梯二十四户,有,暂无数据,2019-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,雅居乐星河湾公寓，拎包入住万达旁可办公自住，可出租总价低,小区门口自带中型生活*市，烟酒店等，小区自带会所，包含体育馆健身房，游泳池，御景天大酒店，小区自带幼儿园，东边有太湖综合市场包含菜市场和中型购物*市，太湖路旁有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等。,,,,此楼栋建造于2013年，位于小区门口楼下免费停车位多，此楼栋共29层4梯24户，此房位于16层长方形单开间朝西有阳台，一室一厅一卫一橱，适合单身青年居住，创业开公司和出租皆可。,,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路 32A路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，可到达常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘薛家出入口。",,,,,,,
1154,雅居乐星河湾 216万 精装修 400万,400万,18488,新北区三井,雅居乐星河湾,3室2厅1厨2卫,中楼层 (共28层),216.36㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,,,,,
1155,雅居乐公寓  品质小区  地段好,50万,8772,新北区三井,雅居乐星河湾,1室1厅1厨1卫,高楼层 (共6层),57㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯六十四户,有,暂无数据,2021-09-02,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,雅居乐公寓 可自住可办公 品质小区  地段好,该楼建成于2015年，位于小区门口，地上地下免费停车位充足，此房为朝北户型，带阳台，可创业开公司和投 资,,,,,小区门口自带中型生活购物，烟酒店等，小区自带御景天品质酒店以及会所，包含体育馆，健身房，游泳池。小区东门有太湖综合市场和汇丰菜场。中国银行，中国工商银行，中国农业银行，中国邮政储蓄银行环伺其周，万达广场，丰臣国际广场也近在咫尺。,,小区楼下有共享单车，和两个公交站台，有公交有32路，32A路，46路，111路，213路，40路，可到达西林公交站台，江南商场，奔牛，火车站等，交通四通八达，小区南门口即是龙城大道以及龙江高架东西环城主干道，可通往常州各个区域。,,,,,商水,商电,
