,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,交通出行,户型介绍,装修描述,权属抵押,售房详情,税费解析,小区介绍,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
1250,兰翔新村 一楼带院 精装修 拎包入住 价格可谈,120万,19241,新北区河海,兰翔新村,2室1厅1厨1卫,低楼层 (共6层),62.37㎡,错层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-03-19,商品房,2023-04-20,普通住宅,未满两年,共有,无抵押,已上传房本照片,兰翔新村配套设施齐全，交通便利， 房子近小区南门出门就是菜场,,,小区门口就是1号地铁，菜场在隔壁，到万达和环球港都很 近，学 校在小区，新区公园对 面，位置号 看房方便,朝南户型 地段优越 格局好 通透性好 采光刺眼 欢迎随时看房,,,,契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,,,,,
1251,此房精装修，生活温度，适合刚需,153万,13910,新北区龙虎塘,锦珑湾花园,3室2厅1厨2卫,中楼层 (共19层),110㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-21,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房精装修，生活温度，适合刚需。满二唯一,,本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,小区门口有共享单车，出小区300米29路公交车，距离地铁1好线环球港站1000米,,,,,,
1252,繁华里精装自住装修三室两卫边户诚心出售,260万,21382,新北区河海,繁華里,3室2厅1厨2卫,高楼层 (共33层),121.6㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-10-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五不唯一，楼层好，采光充足，精装修,,小区配套成熟，交通方便，商场，菜场，银行，学 校，医院等步行就能到达，环球恐龙园离小区仅几百米，是您周末度假旅游好去处。,,,,,业主5年前买的婚房，房子装修自住装修，诚心出售此房，房子产权明晰，可随时签约。,,小区环境优美，鸟语花香，龙湖物业，保安24小时巡逻，给您一个安全舒适的居住环境。,,,,,,
1253,天润园人车分流边户精装修业主诚心出售,198万,15840,新北区河海,天润园,3室2厅1厨2卫,中楼层 (共30层),125㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-09-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,
1254,锦绣天地精装 三房改两房户型 自住空调 地暖 品牌家电,226万,23790,新北区河海,锦绣天地,2室2厅1厨2卫,高楼层 (共34层),95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-08-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房是业主一手毛坯买进，自己住的装修 家用电器全配好，诚意卖,,,,此房户型是原始三房改成两房两卫，客厅朝南，主卧朝南带阳台和卫生间  次卧朝北 另外同一个房间改成餐厅和厨房间连着 做了开放式厨房,此房是业主自己自住装修，大金空调 地暖 家里用的电器全是品牌家电，地板也是进口的。拎包入住,,,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,,,,,,,
1255,地铁口  新区公园旁  怀德名园舒适精装房,105万,13820,新北区河海,常信怀德名园,2室1厅1厨1卫,中楼层 (共31层),75.98㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯十八户,有,暂无数据,2023-06-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,地铁口龙城旁 舒适  精装两房,,"生活设施齐全 ，农贸菜场, 商场, 汉江路国际街区，各种吃食和日料。。。",,,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而..",有地上停车场和地下车库，小区保安内24巡逻，小区地理位置佳，绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用,,,,,,
1256,燕兴新村东区，新区公园旁，二室二厅六楼带内阁楼,85万,12763,新北区河海,燕兴新村东区,2室1厅1厨1卫,高楼层 (共6层),66.6㎡,复式,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-03-16,商品房,2023-03-17,普通住宅,未满两年,共有,有抵押 40万元 业主自还,已上传房本照片,业主诚意出售，产权清晰，有抵押，随时还清,,,楼下有公交，共享单车，地铁1号线，出行方便。。。。。。。。。,,,,此房产权清晰，房源真实，业主诚心出售，由于房东调离工作，看房方便，过户全程陪同,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
1257,恐龙园板块燕兴新村3室1卫业主诚心出售,75万,9375,新北区河海,燕兴新村东区,3室1厅1厨1卫,高楼层 (共6层),80㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-07-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,地段好，交通方便，出门公交、地铁。旁边菜场、公园。,,,,,装修新，保养得好，配套齐全，房子打扫的干净清爽，拎包就能入住,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足,,,,,,
1258,香树湾馨苑 2室2厅 南 北,182万,19723,新北区河海,香树湾馨苑,2室2厅1厨1卫,低楼层 (共18层),92.28㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-05-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1259,万达 环球港商圈  兰翔新村  舒适好房,79万,12554,新北区河海,兰翔新村,2室1厅1厨1卫,高楼层 (共5层),62.93㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,暂无数据,暂无数据,暂无数据,2023-08-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 公积金,未上传房本照片,新区公园旁 地铁口 兰翔新村舒适朝南房 户型方正,,,,,,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收....,兰翔新村位于新区公园旁，地铁口，拥揽春华秋实四季人生景致；阳光、清风自对流，园林风光前呼后拥，居家生活处处有景。,,,,,,
1260,荣盛馨河郦舍 1室1厅 南,120万,20690,新北区河海,荣盛馨河郦舍,1室1厅1厨1卫,中楼层 (共25层),58㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
1261,三井万代旁中创时代广场  交通便利 民用水电 看房方便,49.8万,5797,新北区河海,中创时代广场,2室2厅1厨1卫,高楼层 (共21层),85.92㎡,平层,暂无数据,板塔结合,西北,钢混结构,精装,三梯十二户,有,暂无数据,2023-09-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地段好，交通方便，公交、地铁齐全。旁边万达广场、通江路,,,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,位置：小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,
1262,新上~嘉新花苑小两房 房东自住未出租 看房方便,75万,8437,新北区河海,嘉新花苑,2室1厅1厨1卫,低楼层 (共19层),88.9㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯六户,有,暂无数据,2023-10-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满二，地理位置佳，采光充足，配套实施齐全，交通便利。,,,公交车方向众多，离BRT车站、高铁都较近，外部道路宽阔，交通十分便利,,,,业主改善房，随时看房，业主随时可以签约，接受贷款，诚心出售。,,小区内有合理分布便利市场，生活用品及买菜十分便利，生活轻松。,,,,,,
1263,怀德名园 舒适好房（龙城旁 地铁口 ）,80万,14546,新北区河海,常信怀德名园,1室1厅1厨1卫,中楼层 (共31层),55㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯十八户,有,暂无数据,2023-10-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,怀德名园小区环境优雅，配套成熟，交通便利，居住..,,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院。 商场：西临新桥广场，华润万家，苏杭时代购物广场，3公里到环球港山姆,,,,,,面积90平以下，首套需交1点契税，二套需交1个点契税，三套及以上需交3个点契税,小区环境优美，位于新北区成熟地段，设施齐全，生活便利幼儿园，酒店和餐厅。,,,,,,
1264,朝南 两层 带租出售  近万达环球港 房东急售,45万,9184,新北区河海,富都商务公寓,1室1厅1厨1卫,低楼层 (共22层),49㎡,复式,暂无数据,塔楼,南,钢混结构,精装,五梯三十四户,有,暂无数据,2022-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房是商务楼，自己住家，或者是在里面办公都可以的楼 装修好,,,地铁1号线，万达广场，环球港，丰臣广场，市政府，华山医院，奥体，常发广场,房子是朝南的客厅和卫生间，厨房，客厅而且是做了挑高的复式，显得客厅很明亮 二楼做了一个房间和一个小的过道，可以在上面喝茶聊天，很实用 而且是装修的 直接拎包入住,,,,,新区公园平时可以散步，散心，楼下小吃，餐馆齐全，出门有公交站台，出行便利，小区是封闭式小区，设置安保，24小时巡逻，居住更安全放心，小区设有水系景观，公共健身区域和儿童游乐区,,,,,,
1265,兰翔新村  万达商圈 采光好 看房方便,77万,11976,新北区河海,兰翔新村,2室1厅1厨1卫,高楼层 (共6层),64.3㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,
