,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,售房详情,税费解析,房源核验码,查询房管备案记录,户型介绍,交通出行,小区介绍,周边配套,权属抵押,用水类型,用电类型,装修描述,别墅类型,燃气价格
437,龙栖花园边户三面采光满2年中高楼层前排无遮挡,145万,10752,新北区龙虎塘,龙栖花园,3室2厅1厨2卫,高楼层 (共17层),134.87㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-09-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子满两年 简单装修边户， 看房方便,,,契税若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,,常州产权 ，中高楼层真正南北通户型，楼 栋位置好，前排无遮挡,,,本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,,,,,
438,九洲花园117平三房两卫精装138万诚意出售,125万,10727,新北区龙虎塘,九洲花园三期,3室2厅1厨1卫,低楼层 (共21层),116.53㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-09,商品房,2018-05-11,普通住宅,暂无数据,共有,有抵押 100万元,已上传房本照片,此房满二省税，边户通风好 采光好 视野开阔 精装拎包住,,售房详情：业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,
439,九洲花园普装两房一厅，采光好，视野开阔,80万,10696,新北区龙虎塘,九洲花园北区,2室1厅1厨1卫,中楼层 (共26层),74.8㎡,平层,暂无数据,板塔结合,东,钢混结构,简装,两梯三户,有,暂无数据,2022-08-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元,未上传房本照片,位置好，楼层好，视野开阔，采光充足，交通便利,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,出行方便，小区门口环保自行车、公交站，邻近地铁站、高铁站，高速口,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,配套齐全，与祥龙绿地公园一路之隔，人文环境好， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全,,,,,,
440,急售  龙虎塘祥龙苑  精装修3房  价格可以谈,130万,9690,新北区龙虎塘,祥龙苑,3室2厅1厨2卫,中楼层 (共18层),134.17㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-27,商品房,2022-10-18,普通住宅,未满两年,非共有,有抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
441,恐龙园，祥龙苑，毛坯2室2厅，自主装修设计,84万,9532,新北区龙虎塘,祥龙苑,2室2厅1厨1卫,低楼层 (共18层),88.13㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-05-26,商品房,2015-07-31,普通住宅,暂无数据,非共有,有抵押 23万元,已上传房本照片,产权满五唯一，小区环境优雅，配套成熟，交通便利，居住舒,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。 论一位经纪人的自我修养，此房源值得推荐,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,出门就是祥龙绿地公园，生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,
442,美林湖花园 精装两房 未入住过 采光好,95万,10124,新北区龙虎塘,美林湖花园,2室2厅1厨1卫,低楼层 (共21层),93.84㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区新 房子户型好 采光好 新装修未入住过,,业主人很友好、热情，外地发展 诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,,,,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,
443,龙虎塘板块 盘龙苑两房朝南 户型方正 房东诚售,102.8万,12166,新北区龙虎塘,盘龙苑东区,2室1厅1厨1卫,低楼层 (共5层),84.5㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-03-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,通透优雅，*乎想象的经典布局。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学。,,,,,,,,
444,环球港旁  九洲花园  温馨小居室  来电即看房,49万,9800,新北区龙虎塘,九洲花园,1室1厅1厨1卫,低楼层 (共27层),50㎡,暂无数据,暂无数据,塔楼,南,框架结构,精装,两梯十二户,有,暂无数据,2022-03-10,商品房,暂无数据,商业,暂无数据,共有,有抵押,未上传房本照片,此房精装修，发现生活温度，适合刚需、婚房等需求,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,,小区门口有共享单车，出小区300米29路公交车，距离地铁1好线环球港站1000米,,本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,,,,,
445,九洲花园公寓一室一厅，49.83平方,50万,10035,新北区龙虎塘,九洲花园,1室1厅1厨1卫,中楼层 (共27层),49.83㎡,平层,暂无数据,塔楼,东,框架结构,精装,两梯十二户,有,暂无数据,2020-08-25,商品房,暂无数据,商业,暂无数据,共有,无抵押,未上传房本照片,全明户型，惬意悠享假日生活；方正通透，*大面.,"发现生活温度，适合刚需、改善、便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,"存量房需要缴纳个人所得税1%。
契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。
90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，
若90㎡以上将收取2%。
三套房不论面积大小契税均按照3%收..",,,,,,,,,,"该房装修细致入微，业主家中亲戚就是学室内装修设计的，同事也在合伙经营一家
装修公司，又是自己的房子很重视，品牌家装建材、家具家电、卫浴、地板无不亲力亲为建选材，监工。即买即享受省心、省力、省时。",,
446,九洲花园四期 企业力荐诚意出售,50万,10114,新北区龙虎塘,九洲花园,1室1厅1厨1卫,中楼层 (共27层),49.44㎡,平层,暂无数据,塔楼,南,框架结构,精装,两梯十二户,有,暂无数据,2021-06-16,商品房,暂无数据,商业,暂无数据,非共有,无抵押,未上传房本照片,此房精装修，发现生活温度，适合刚需、婚房等需求。,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,,小区门口有共享单车，出小区300米29路公交车，距离地铁1好线环球港站1000米,,本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,,,,,
447,环球港旁盘龙苑 精装两房中间楼层 地铁口,93万,11246,新北区龙虎塘,盘龙苑南区,2室2厅1厨1卫,高楼层 (共6层),82.7㎡,平层,暂无数据,暂无数据,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-06-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,明户型，南北通空间，惬意悠享假日生活；方正通透,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产凤凰名城店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,,,,
448,长江塑化市场85平两室一厅，朝东,60万,7059,新北区龙虎塘,长江塑化市场,3室1厅1厨1卫,高楼层 (共6层),85㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-09-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,配套成熟，交通便利，可自住，可办公，居住舒适。,,房东诚心出售， 楼层好，朝东，采光好，视野开阔，随时看房，无抵押，产权清晰，随时交易过户，交房,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,
449,江南五金机电城 1室1厅 南,36万,6205,新北区龙虎塘,江南五金机电城,1室1厅1厨1卫,高楼层 (共6层),58.02㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-02-01,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
450,环球港五洲国际旁边，89平方精装修采光明亮,100万,11263,新北区龙虎塘,道城商务广场,2室1厅1厨1卫,低楼层 (共20层),88.79㎡,平层,暂无数据,塔楼,南,框架结构,精装,两梯四户,有,暂无数据,2021-02-19,商品房,2016-02-17,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,环球港旁边，89平方精装修；全天采光,,,房屋产权:房子为商品房。税费信息:满两年 省增值税。 首套房90M以下1%、90M以上1.5二套房90M以下1%、90M以上2%三套房不论面积统-3%,,,,,环境优美:小区安静优雅，，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3.生活便利:小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,小区生活设施齐全.、菜市场、银行、交通便捷;2、小区内有健身器材，，可供小区居民使用;3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,,,
451,龙虎塘旁 婚装房 全天采光 户型好 靠着大型业体,105万,11461,新北区龙虎塘,道城商务广场,2室2厅1厨1卫,中楼层 (共20层),91.62㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2021-05-31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,环球港旁边，92平方精装婚房装修；全天采光,,,房屋产权:房子为商品房。税费信息:满两年 省增值税。 首套房90M以下1%、90M以上1.5二套房90M以下1%、90M以上2%三套房不论面积统-3%,,,,,环境优美:小区安静优雅，，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3.生活便利:小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,小区生活设施齐全.、菜市场、银行、交通便捷;2、小区内有健身器材，，可供小区居民使用;3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻,,,,,,
