,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,户型介绍,税费解析,适宜人群,周边配套,小区介绍,交通出行,装修描述,权属抵押,别墅类型,房源核验码,查询房管备案记录,用水类型,用电类型
269,滨江小两房 精装修 拎包入住 诚心出售,79.8万,10086,新北区小新桥,滨江明珠城,2室2厅1厨1卫,高楼层 (共22层),79.12㎡,平层,64.02㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-11-28,商品房,2010-05-11,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利 .,房东诚意出售 价格可谈！欢迎致电咨询，看房方便！ 此房业主诚心卖，,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,,,,,,,,
270,锦海尚城，婚房精装，保养好，拎包入住,138万,11398,新北区小新桥,锦海尚城,3室2厅1厨2卫,中楼层 (共18层),121.08㎡,平层,98.54㎡,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-06,商品房,2015-09-08,普通住宅,暂无数据,共有,有抵押 23万元,已上传房本照片,此房满五唯一 随时可看 户型好 拎包可住,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,发现生活温度，适合刚需、改善、婚房等需求，业主婚房装修平品牌件家具建材。论一位经纪人的自我修养，此房源值得推荐。,,,,,,
271,清水湾三期大三房  户型方正 采光佳诚售,150万,11297,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,低楼层 (共34层),132.79㎡,平层,100.5㎡,塔楼,南 北,钢混结构,简装,两梯三户,有,暂无数据,2023-12-16,商品房,2012-08-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一  南北通透 视野开阔 采光充足  配套设施齐全,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
272,锦海星城 2 房 房东诚心 出售  价格可小刀,90万,9720,新北区小新桥,锦海星城,2室2厅1厨1卫,中楼层 (共15层),92.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元 /,未上传房本照片,户型方正，采光充足，家里有人，看房方便。,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,出门有共享单车，楼下就是公交车站，距离地铁一号线两个红绿灯，距离高铁站，汽车站还是比较近的，交通还是比较方便的。,,本房有户口（可迁出），无异议登记，无债权债务纠纷，产权清晰，可放心入手。,,,,,
273,此房户型方正，采光好，楼栋位置好，随时可看,88万,10603,新北区小新桥,新龙花苑东区,2室2厅1厨1卫,高楼层 (共6层),83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正，采光好，楼栋位置好，门口就是校.医院,,"房格局好,通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,"小区分地上车位很地下车位，小区西门旁就是新桥乡政府，提供住户生活上面的帮助。


小区距离新桥华润万家800米，距离第四人民医院1.5公里，门口就有公交19路，有新桥小 学、",,,,,,,,
274,全屋智能化装修  全天采光无遮挡  奢华装修,135万,14276,新北区小新桥,星河时代,3室2厅1厨1卫,高楼层 (共27层),94.57㎡,平层,暂无数据,暂无数据,南,未知结构,精装,三梯五户,有,暂无数据,2024-01-22,商品房,2023-05-31,普通住宅,未满两年,非共有,有抵押,已上传房本照片,经典户型，采光好，稀有房源！配套设施齐全，成熟社区，环境优美，物业不错,,,,1、 小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺、生活方便； 2、 小区绿化面积大 楼间距开 房间格局分明 采光足 使得房价每个角落都能享受阳光； 3、 地理位置优越，交通便利，出门就有公交站点，绿化优美，小区环境幽静,税费解析： 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,112488706247,此房南北通风 楼层好 户型方正 随时可看,,
275,西瑶苑 3室2厅 南,110万,12225,新北区小新桥,西瑶苑,3室2厅1厨1卫,中楼层 (共18层),89.98㎡,平层,暂无数据,板楼,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,2016-02-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
276,新龙花苑东区  三房  精装修    房东诚心出售,120万,9231,新北区小新桥,新龙花苑东区,3室2厅1厨1卫,中楼层 (共6层),130㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房满五唯一户型好大面积居住舒适 随时可看 拎包入住,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,小区自带腾龙苑菜市场、新龙花苑菜场，距离新桥华润万家800米，距离第四人民医院1.5公里，门口就有公交19路，有新桥小 学、龙虎塘小 学、新桥中 学、龙虎塘中 学等。。、,小区分地上车位很地下车位，小区中间有一座写字楼腾龙苑街道办事处，提供住户生活上面的帮助。,,,,,,,,
277,滨江明珠城 2室1厅 南,76万,9881,新北区小新桥,滨江明珠城,2室1厅1厨1卫,中楼层 (共5层),76.92㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯三十四户,有,暂无数据,2023-12-12,商品房,2016-11-22,普通住宅,满五年,共有,有抵押 客户偿还,已上传房本照片,,,,,,,,,,,,,,,
278,清水湾三期   精装两房    好户型   诚心出售,108万,11729,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,中楼层 (共34层),92.08㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯三户,有,暂无数据,2024-02-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 11万元,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
279,高铁新城   锦海星城二期   精装房  诚心出售,95万,10628,新北区小新桥,锦海尚城,2室2厅1厨1卫,中楼层 (共22层),89.39㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,2015-08-31,普通住宅,暂无数据,共有,有抵押 6万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
280,此房楼层好 户型好 有钥匙 随时可看业主诚售,130万,10597,新北区小新桥,滨江明珠城,3室2厅1厨2卫,中楼层 (共22层),122.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 江南农村商业银行,未上传房本照片,此房楼层好 户型好 有钥匙 随时可看业主诚售,,,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收取,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘。,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,,,,,,,,,
281,滨江明珠城 3室2厅 东南,148万,10498,新北区小新桥,滨江明珠城,3室2厅1厨2卫,高楼层 (共22层),140.99㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-02,商品房,2014-01-09,普通住宅,暂无数据,共有,有抵押 客户偿还,已上传房本照片,,,,,,,,,,,,,,,
282,清水湾花园三期 3室1厅 东 南,160万,12105,新北区小新桥,清水湾花园三期,3室1厅1厨2卫,中楼层 (共34层),132.18㎡,平层,暂无数据,板塔结合,东 南,钢混结构,简装,两梯三户,有,暂无数据,2024-03-06,商品房,2014-12-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
283,高铁新城西瑶苑91平自住精装两室 满五无个税 空置,110万,12088,新北区小新桥,西瑶苑,3室2厅1厨1卫,低楼层 (共18层),91㎡,平层,暂无数据,板楼,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2024-02-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,高铁新城西瑶苑91平自住精装两室 满五无个税 空置看房方便,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,1、小区生活设施齐全，市场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,,,,,
284,清水湾花园三期 2室2厅 南,96万,11965,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,中楼层 (共34层),80.24㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2024-03-12,商品房,2013-01-11,普通住宅,满五年,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
285,滨江明珠城二期 3室2厅 南,135万,13203,新北区小新桥,滨江明珠城二期,3室2厅1厨1卫,低楼层 (共16层),102.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-01,商品房,2017-08-01,普通住宅,暂无数据,非共有,有抵押 7万元 客户偿还,已上传房本照片,,,,,,,,,,,,,,,
